SN_name,redshift,x1_stretch,distance_modulus,mu_error
2007co,0.02731,-0.697511,35.1118,0.346591
2007co,0.02731,-0.210051,35.227,0.261645
2005na,0.02748,-0.435652,35.113,0.172724
2005na,0.02748,-0.361526,35.1538,0.186856
2005na,0.02748,-0.319979,35.1117,0.170295
2006gj,0.02803,-2.10847,35.7258,0.321699
2010ii,0.02805,-1.63665,35.1306,0.184771
2006ev,0.0281,-1.33707,35.6739,0.216353
PSNJ0252467,0.02816,-0.242102,35.3613,0.190628
2009aa,0.02819,-0.776049,35.3174,0.173415
2003U,0.02833,-2.12399,35.2665,0.177545
2002el,0.02849,-1.27001,35.1049,0.181734
2008ar,0.02849,-0.139414,35.2913,0.178243
2008ar,0.02849,-0.003834,35.359,0.180243
AT2017ns,0.02849,-0.966399,35.1963,0.366604
2004gs,0.02857,-1.88149,35.5996,0.235009
2007is,0.02866,-0.440798,35.3449,0.211378
2013bs,0.02866,-1.53613,35.4105,0.201911
1993ah,0.02888,-2.20166,35.2763,0.655117
ASASSN-15la,0.02902,-1.01539,35.0558,0.218663
ASASSN-15fs,0.02917,-0.021703,35.2391,0.185823
2003ch,0.02919,-1.30843,35.6024,0.169987
PSNJ0859349,0.02938,-0.88688,35.472,0.225755
ASASSN-16fs,0.02944,-1.34003,35.2761,0.180915
2000cw,0.02949,-0.841401,35.6079,0.224233
ASASSN-16aj,0.02953,-1.76764,35.4654,0.177866
ATLAS17ajn,0.02978,-2.02735,35.5116,0.190788
1997dg,0.02996,-0.316156,35.861,0.192522
2004ef,0.03012,-1.24846,35.5195,0.196088
2004ef,0.03012,-1.42181,35.4838,0.199296
2004ef,0.03012,-1.65809,35.4761,0.233488
ASASSN-15nq,0.03023,-0.336729,35.5185,0.166012
AT2016cyt,0.03059,-1.7723,35.3586,0.164518
ASASSN-15uw,0.03076,-0.702146,35.6084,0.212671
PS15cwx,0.03086,-1.43085,35.4164,0.184841
2009eu,0.03108,-1.99511,35.9224,0.399302
2009fv,0.03108,-0.730586,35.406,0.332119
2009fv,0.03108,-0.461572,35.3374,0.375292
1999cc,0.03116,-1.60696,35.5877,0.169094
MASTEROTJ08,0.03118,-0.018273,35.6675,0.174531
2007bd,0.0312,-1.2054,35.4957,0.175954
2007bd,0.0312,-1.07849,35.5793,0.14868
2007bd,0.0312,-1.4426,35.4841,0.153803
2006bw,0.03132,-1.75496,35.6231,0.320886
